"source";"translation";"type";"module";"status";"customer"
"Canada";"Canada";"B";"";"N";"N"
"Cocos (Keeling) Islands";"Cocos (Keeling) Islands";"B";"";"N";"N"
"Congo, The Democratic Republic of the";"Congo, The Democratic Republic of the";"B";"";"N";"N"
"Central African Republic";"Central African Republic";"B";"";"N";"N"
"Congo";"Congo";"B";"";"N";"N"
"Switzerland";"Switzerland";"B";"";"N";"N"
"Cote D'Ivoire";"Cote D'Ivoire";"B";"";"N";"N"
"Cook Islands";"Cook Islands";"B";"";"N";"N"
"Chile";"Chile";"B";"";"N";"N"
"Cameroon";"Cameroon";"B";"";"N";"N"
"China";"China";"B";"";"N";"N"
"Colombia";"Colombia";"B";"";"N";"N"
"Costa Rica";"Costa Rica";"B";"";"N";"N"
"Cuba";"Cuba";"B";"";"N";"N"
"Cape Verde";"Cape Verde";"B";"";"N";"N"
"Christmas Island";"Christmas Island";"B";"";"N";"N"
"Cyprus";"Cyprus";"B";"";"N";"N"
"Czech Republic";"Czech Republic";"B";"";"N";"N"
"Germany";"Germany";"B";"";"N";"N"
"Djibouti";"Djibouti";"B";"";"N";"N"
"Denmark";"Denmark";"B";"";"N";"N"
"Dominica";"Dominica";"B";"";"N";"N"
"Dominican Republic";"Dominican Republic";"B";"";"N";"N"
"Algeria";"Algeria";"B";"";"N";"N"
"Ecuador";"Ecuador";"B";"";"N";"N"
"Estonia";"Estonia";"B";"";"N";"N"
"Egypt";"Egypt";"B";"";"N";"N"
"Western Sahara";"Western Sahara";"B";"";"N";"N"
"Eritrea";"Eritrea";"B";"";"N";"N"
"Spain";"Spain";"B";"";"N";"N"
"Ethiopia";"Ethiopia";"B";"";"N";"N"
"Finland";"Finland";"B";"";"N";"N"
"Fiji";"Fiji";"B";"";"N";"N"
"Falkland Islands (Malvinas)";"Falkland Islands (Malvinas)";"B";"";"N";"N"
"Micronesia, Federated States of";"Micronesia, Federated States of";"B";"";"N";"N"
"Faroe Islands";"Faroe Islands";"B";"";"N";"N"
"France";"France";"B";"";"N";"N"
"France, Metropolitan";"France, Metropolitan";"B";"";"N";"N"
"Gabon";"Gabon";"B";"";"N";"N"
"United Kingdom";"United Kingdom";"B";"";"N";"N"
"Grenada";"Grenada";"B";"";"N";"N"
"Georgia";"Georgia";"B";"";"N";"N"
"French Guiana";"French Guiana";"B";"";"N";"N"
"Ghana";"Ghana";"B";"";"N";"N"
"Gibraltar";"Gibraltar";"B";"";"N";"N"
"Greenland";"Greenland";"B";"";"N";"N"
"Gambia";"Gambia";"B";"";"N";"N"
"Guinea";"Guinea";"B";"";"N";"N"
"Guadeloupe";"Guadeloupe";"B";"";"N";"N"
"Equatorial Guinea";"Equatorial Guinea";"B";"";"N";"N"
"Greece";"Greece";"B";"";"N";"N"
"South Georgia and the South Sandwich Islands";"South Georgia and the South Sandwich Islands";"B";"";"N";"N"
"Guatemala";"Guatemala";"B";"";"N";"N"
"Guam";"Guam";"B";"";"N";"N"
"Guinea-Bissau";"Guinea-Bissau";"B";"";"N";"N"
"Guyana";"Guyana";"B";"";"N";"N"
"Hong Kong";"Hong Kong";"B";"";"N";"N"
"Heard Island and McDonald Islands";"Heard Island and McDonald Islands";"B";"";"N";"N"
"Honduras";"Honduras";"B";"";"N";"N"
"Croatia";"Croatia";"B";"";"N";"N"
"Haiti";"Haiti";"B";"";"N";"N"
"Hungary";"Hungary";"B";"";"N";"N"
"Indonesia";"Indonesia";"B";"";"N";"N"
"Ireland";"Ireland";"B";"";"N";"N"
"Israel";"Israel";"B";"";"N";"N"
"India";"India";"B";"";"N";"N"
"British Indian Ocean Territory";"British Indian Ocean Territory";"B";"";"N";"N"
"Iraq";"Iraq";"B";"";"N";"N"
"Iran, Islamic Republic of";"Iran, Islamic Republic of";"B";"";"N";"N"
"Iceland";"Iceland";"B";"";"N";"N"
"Italy";"Italy";"B";"";"N";"N"
"Jamaica";"Jamaica";"B";"";"N";"N"
"Jordan";"Jordan";"B";"";"N";"N"
"Japan";"Japan";"B";"";"N";"N"
"Kenya";"Kenya";"B";"";"N";"N"
"Kyrgyzstan";"Kyrgyzstan";"B";"";"N";"N"
"Cambodia";"Cambodia";"B";"";"N";"N"
"Kiribati";"Kiribati";"B";"";"N";"N"
"Comoros";"Comoros";"B";"";"N";"N"
"Saint Kitts and Nevis";"Saint Kitts and Nevis";"B";"";"N";"N"
"Korea, Democratic People's Republic of";"Korea, Democratic People's Republic of";"B";"";"N";"N"
"Korea, Republic of";"Korea, Republic of";"B";"";"N";"N"
"Kuwait";"Kuwait";"B";"";"N";"N"
"Cayman Islands";"Cayman Islands";"B";"";"N";"N"
"Lao People's Democratic Republic";"Lao People's Democratic Republic";"B";"";"N";"N"
"Lebanon";"Lebanon";"B";"";"N";"N"
"Saint Lucia";"Saint Lucia";"B";"";"N";"N"
"Liechtenstein";"Liechtenstein";"B";"";"N";"N"
"Liberia";"Liberia";"B";"";"N";"N"
"Lesotho";"Lesotho";"B";"";"N";"N"
"Lithuania";"Lithuania";"B";"";"N";"N"
"Luxembourg";"Luxembourg";"B";"";"N";"N"
"Latvia";"Latvia";"B";"";"N";"N"
"Libyan Arab Jamahiriya";"Libyan Arab Jamahiriya";"B";"";"N";"N"
"Morocco";"Morocco";"B";"";"N";"N"
"Monaco";"Monaco";"B";"";"N";"N"
"Moldova, Republic of";"Moldova, Republic of";"B";"";"N";"N"
"Madagascar";"Madagascar";"B";"";"N";"N"
"Marshall Islands";"Marshall Islands";"B";"";"N";"N"
"Macedonia";"Macedonia";"B";"";"N";"N"
"Mali";"Mali";"B";"";"N";"N"
"Myanmar";"Myanmar";"B";"";"N";"N"
"Mongolia";"Mongolia";"B";"";"N";"N"
"Macau";"Macau";"B";"";"N";"N"
"Northern Mariana Islands";"Northern Mariana Islands";"B";"";"N";"N"
"Martinique";"Martinique";"B";"";"N";"N"
"Mauritania";"Mauritania";"B";"";"N";"N"
"Montserrat";"Montserrat";"B";"";"N";"N"
"Malta";"Malta";"B";"";"N";"N"
"Mauritius";"Mauritius";"B";"";"N";"N"
"Maldives";"Maldives";"B";"";"N";"N"
"Malawi";"Malawi";"B";"";"N";"N"
"Mexico";"Mexico";"B";"";"N";"N"
"Malaysia";"Malaysia";"B";"";"N";"N"
"Mozambique";"Mozambique";"B";"";"N";"N"
"Namibia";"Namibia";"B";"";"N";"N"
"New Caledonia";"New Caledonia";"B";"";"N";"N"
"Niger";"Niger";"B";"";"N";"N"
"Norfolk Island";"Norfolk Island";"B";"";"N";"N"
"Nigeria";"Nigeria";"B";"";"N";"N"
"Nicaragua";"Nicaragua";"B";"";"N";"N"
"Netherlands";"Netherlands";"B";"";"N";"N"
"Norway";"Norway";"B";"";"N";"N"
"Nepal";"Nepal";"B";"";"N";"N"
"Nauru";"Nauru";"B";"";"N";"N"
"Niue";"Niue";"B";"";"N";"N"
"New Zealand";"New Zealand";"B";"";"N";"N"
"Oman";"Oman";"B";"";"N";"N"
"Panama";"Panama";"B";"";"N";"N"
"Peru";"Peru";"B";"";"N";"N"
"French Polynesia";"French Polynesia";"B";"";"N";"N"
"Papua New Guinea";"Papua New Guinea";"B";"";"N";"N"
"Philippines";"Philippines";"B";"";"N";"N"
"Pakistan";"Pakistan";"B";"";"N";"N"
"Poland";"Poland";"B";"";"N";"N"
"Saint Pierre and Miquelon";"Saint Pierre and Miquelon";"B";"";"N";"N"
"Pitcairn Islands";"Pitcairn Islands";"B";"";"N";"N"
"Puerto Rico";"Puerto Rico";"B";"";"N";"N"
"Palestinian Territory";"Palestinian Territory";"B";"";"N";"N"
"Portugal";"Portugal";"B";"";"N";"N"
"Palau";"Palau";"B";"";"N";"N"
"Paraguay";"Paraguay";"B";"";"N";"N"
"Qatar";"Qatar";"B";"";"N";"N"
"Reunion";"Reunion";"B";"";"N";"N"
"Romania";"Romania";"B";"";"N";"N"
"Russian Federation";"Russian Federation";"B";"";"N";"N"
"Rwanda";"Rwanda";"B";"";"N";"N"
"Saudi Arabia";"Saudi Arabia";"B";"";"N";"N"
"Solomon Islands";"Solomon Islands";"B";"";"N";"N"
"Seychelles";"Seychelles";"B";"";"N";"N"
"Sudan";"Sudan";"B";"";"N";"N"
"Sweden";"Sweden";"B";"";"N";"N"
"Singapore";"Singapore";"B";"";"N";"N"
"Saint Helena";"Saint Helena";"B";"";"N";"N"
"Slovenia";"Slovenia";"B";"";"N";"N"
"Slovakia";"Slovakia";"B";"";"N";"N"
"Sierra Leone";"Sierra Leone";"B";"";"N";"N"
"San Marino";"San Marino";"B";"";"N";"N"
"Senegal";"Senegal";"B";"";"N";"N"
"Somalia";"Somalia";"B";"";"N";"N"
"Suriname";"Suriname";"B";"";"N";"N"
"El Salvador";"El Salvador";"B";"";"N";"N"
"Syrian Arab Republic";"Syrian Arab Republic";"B";"";"N";"N"
"Swaziland";"Swaziland";"B";"";"N";"N"
"Turks and Caicos Islands";"Turks and Caicos Islands";"B";"";"N";"N"
"Chad";"Chad";"B";"";"N";"N"
"French Southern Territories";"French Southern Territories";"B";"";"N";"N"
"Togo";"Togo";"B";"";"N";"N"
"Thailand";"Thailand";"B";"";"N";"N"
"Tajikistan";"Tajikistan";"B";"";"N";"N"
"Tokelau";"Tokelau";"B";"";"N";"N"
"Turkmenistan";"Turkmenistan";"B";"";"N";"N"
"Tunisia";"Tunisia";"B";"";"N";"N"
"Tonga";"Tonga";"B";"";"N";"N"
"Timor-Leste";"Timor-Leste";"B";"";"N";"N"
"Turkey";"Turkey";"B";"";"N";"N"
"Trinidad and Tobago";"Trinidad and Tobago";"B";"";"N";"N"
"Tuvalu";"Tuvalu";"B";"";"N";"N"
"Taiwan";"Taiwan";"B";"";"N";"N"
"Tanzania, United Republic of";"Tanzania, United Republic of";"B";"";"N";"N"
"Ukraine";"Ukraine";"B";"";"N";"N"
"Uganda";"Uganda";"B";"";"N";"N"
"United States Minor Outlying Islands";"United States Minor Outlying Islands";"B";"";"N";"N"
"United States";"United States";"B";"";"N";"N"
"Uruguay";"Uruguay";"B";"";"N";"N"
"Uzbekistan";"Uzbekistan";"B";"";"N";"N"
"Holy See (Vatican City State)";"Holy See (Vatican City State)";"B";"";"N";"N"
"Saint Vincent and the Grenadines";"Saint Vincent and the Grenadines";"B";"";"N";"N"
"Venezuela";"Venezuela";"B";"";"N";"N"
"Virgin Islands, British";"Virgin Islands, British";"B";"";"N";"N"
"Virgin Islands, U.S.";"Virgin Islands, U.S.";"B";"";"N";"N"
"Vietnam";"Vietnam";"B";"";"N";"N"
"Vanuatu";"Vanuatu";"B";"";"N";"N"
"Wallis and Futuna";"Wallis and Futuna";"B";"";"N";"N"
"Samoa";"Samoa";"B";"";"N";"N"
"Yemen";"Yemen";"B";"";"N";"N"
"Mayotte";"Mayotte";"B";"";"N";"N"
"Serbia";"Serbia";"B";"";"N";"N"
"South Africa";"South Africa";"B";"";"N";"N"
"Zambia";"Zambia";"B";"";"N";"N"
"Montenegro";"Montenegro";"B";"";"N";"N"
"Zimbabwe";"Zimbabwe";"B";"";"N";"N"
"Anonymous Proxy";"Anonymous Proxy";"B";"";"N";"N"
"Satellite Provider";"Satellite Provider";"B";"";"N";"N"
"Other";"Other";"B";"";"N";"N"
"Aland Islands";"Aland Islands";"B";"";"N";"N"
"Guernsey";"Guernsey";"B";"";"N";"N"
"Isle of Man";"Isle of Man";"B";"";"N";"N"
"Jersey";"Jersey";"B";"";"N";"N"
"Country";"Country";"B";"";"N";"N"
"Actions";"Actions";"B";"";"N";"N"
"(default)";"(default)";"B";"";"N";"N"
"Error changing default country";"Error changing default country";"S";"";"N";"N"
"Default country changed";"Default country changed";"S";"";"N";"N"
"Import file is not defined";"Import file is not defined";"S";"";"N";"N"
"Import";"Import";"B";"";"N";"N"
"Date";"Date";"B";"";"N";"N"
"Description";"Description";"B";"";"N";"N"
"Size";"Size";"B";"";"N";"N"
"Failed to delete %s filter(s)";"Failed to delete %s filter(s)";"S";"";"N";"N"
"%s filter(s) successfully deleted";"%s filter(s) successfully deleted";"S";"";"N";"N"
"Default language can't be deleted";"Default language can't be deleted";"S";"";"N";"N"
"Default language has to be active !";"Default language has to be active !";"S";"";"N";"N"
"Preset name must be unique";"Preset name must be unique";"S";"";"N";"N"
"View name must be unique";"View name must be unique";"B";"";"N";"N"
"Waiting";"Waiting";"B";"";"N";"N"
"Minimum length of %s in %s is %s";"Minimum length of %s in %s is %s";"S";"";"N";"N"
"Maximum length of %s in %s is %s";"Maximum length of %s in %s is %s";"S";"";"N";"N"
"Column %s must be number (%s given)";"Column %s must be number (%s given)";"S";"";"N";"N"
"must be unique";"must be unique";"S";"";"N";"N"
"No available theme";"No available theme";"S";"";"N";"N"
"License";"License";"S";"";"N";"N"
"You have to agree license.";"You have to agree license.";"S";"";"N";"N"
"Could not create settings file. Reason: %s";"Could not create settings file. Reason: %s";"S";"";"N";"N"
"Invalid license.";"Invalid license.";"B";"";"N";"N"
"Could not validate license. Reason: %s";"Could not validate license. Reason: %s";"S";"";"N";"N"
"Please check system requirements and try again";"Please check system requirements and try again";"S";"";"N";"N"
"Check Requirements";"Check Requirements";"B";"";"N";"N"
"Create Account";"Create Account";"B";"";"N";"N"
"Account is already created.";"Account is already created.";"S";"";"N";"N"
"Creating Account Directory";"Creating Account Directory";"S";"";"N";"N"
"Importing Language";"Importing Language";"S";"";"N";"N"
"Initializing Account";"Initializing Account";"S";"";"N";"N"
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Directory %s is not writable by web server user. Please remove it or set write permissions.";"S";"";"N";"N"
"Create Database";"Create Database";"B";"";"N";"N"
"Create database";"Create database";"S";"";"N";"N"
"Write DB settings";"Write DB settings";"S";"";"N";"N"
"Could not connect to database. Please retype your database information again. Message: %s";"Could not connect to database. Please retype your database information again. Message: %s";"S";"";"N";"N"
"Set database";"Set database";"S";"";"N";"N"
"Create framework tables";"Create framework tables";"S";"";"N";"N"
"Write framework version";"Write framework version";"S";"";"N";"N"
"Write application version";"Write application version";"S";"";"N";"N"
"Could not create database. %s";"Could not create database. %s";"S";"";"N";"N"
"Could not write application version. %s";"Could not write application version. %s";"S";"";"N";"N"
"Done";"Done";"B";"";"N";"N"
"Error during database creation.";"Error during database creation.";"S";"";"N";"N"
"Installation Completed";"Installation Completed";"B";"";"N";"N"
"Integrity check";"Integrity check";"B";"";"N";"N"
"Installer";"Installer";"B";"";"N";"N"
"On";"Увімкнено";"S";"";"T";"N"
"Off";"Вимкнено";"S";"";"T";"N"
"GD extension is installed";"GD extension is installed";"S";"";"N";"N"
"GD extension is not installed";"GD extension is not installed";"S";"";"N";"N"
"Compatibility mode is off";"Compatibility mode is off";"S";"";"N";"N"
"Application requires compatibility mode off";"Application requires compatibility mode off";"S";"";"N";"N"
"Please turn compatibility mode off in your php.ini";"Please turn compatibility mode off in your php.ini";"S";"";"N";"N"
"All required functions are enabled";"All required functions are enabled";"S";"";"N";"N"
"Following requires functions are not enabled or available: %s";"Following requires functions are not enabled or available: %s";"S";"";"N";"N"
"Please enable following functions in your php.ini: %s";"Please enable following functions in your php.ini: %s";"S";"";"N";"N"
"Memory limit is %s bytes";"Memory limit is %s bytes";"S";"";"N";"N"
"Please increase memory_limit parameter to 32M in your php.ini";"Please increase memory_limit parameter to 32M in your php.ini";"S";"";"N";"N"
"Application require minimum 32MB of memory";"Application require minimum 32MB of memory";"S";"";"N";"N"
"Standard PHP Library is on";"Standard PHP Library is on";"S";"";"N";"N"
"Application requires Standard PHP Library extension";"Application requires Standard PHP Library extension";"S";"";"N";"N"
"Please recompile your PHP with Standard PHP Library extension";"Please recompile your PHP with Standard PHP Library extension";"S";"";"N";"N"
"Session autostart is off";"Session autostart is off";"S";"";"N";"N"
"Application requires session.auto_start parameter off";"Application requires session.auto_start parameter off";"S";"";"N";"N"
"Please turn session.auto_start parameter off in your php.ini";"Please turn session.auto_start parameter off in your php.ini";"S";"";"N";"N"
"Configuration directory is writable";"Configuration directory is writable";"S";"";"N";"N"
"Configuration directory has to be writable";"Configuration directory has to be writable";"S";"";"N";"N"
"Could not create file inside %s directory";"Could not create file inside %s directory";"S";"";"N";"N"
"Could not create directory inside %s directory";"Could not create directory inside %s directory";"S";"";"N";"N"
"Could not create file or directory inside %s subdirectory. Probably safe mode is not properly configured.";"Could not create file or directory inside %s subdirectory. Probably safe mode is not properly configured.";"S";"";"N";"N"
"On unix-like systems you can type ""chmod -R 777 %s"".";"On unix-like systems you can type ""chmod -R 777 %s"".";"S";"";"N";"N"
"Internal error";"Internal error";"S";"";"N";"N"
"Select Language";"Select Language";"B";"";"N";"N"
"Updating %s Language";"Updating %s Language";"S";"";"N";"N"
"Clearing templates cache";"Clearing templates cache";"S";"";"N";"N"
"Updating plugin engine";"Updating plugin engine";"S";"";"N";"N"
"Update Version";"Update Version";"S";"";"N";"N"
"Updated to version %s-%s";"Updated to version %s-%s";"S";"";"N";"N"
"Error during application update (%s)";"Error during application update (%s)";"S";"";"N";"N"
"CORRUPTED";"CORRUPTED";"S";"";"N";"N"
"MISSING";"MISSING";"S";"";"N";"N"
"Checking integrity of application. This may take few minutes ...";"Checking integrity of application. This may take few minutes ...";"S";"";"N";"N"
"Could not change permissions %s";"Could not change permissions %s";"S";"";"N";"N"
"Could not seek file";"Could not seek file";"S";"";"N";"N"
"Could not read file";"Could not read file";"S";"";"N";"N"
"Rewind unsupported in this file stream";"Rewind unsupported in this file stream";"S";"";"N";"N"
"File %s does not exist.";"File %s does not exist.";"S";"";"N";"N"
"Failed to read file %s";"Failed to read file %s";"S";"";"N";"N"
"Failed to write file %s";"Failed to write file %s";"S";"";"N";"N"
"%s is not directory!";"%s is not directory!";"S";"";"N";"N"
"Could not delete directory %s";"Could not delete directory %s";"S";"";"N";"N"
"Could not create directory %s";"Could not create directory %s";"S";"";"N";"N"
"Language code";"Код мови";"B";"";"T";"N"
"English name";"Назва англійською";"B";"";"T";"N"
"Translated [%]";"Перекладено [%]";"B";"";"T";"N"
"Author";"Автор";"B";"";"T";"N"
"Version";"Версія";"B";"";"T";"N"
"Language";"Мова";"B";"";"T";"N"
"Source message";"Source message";"B";"";"N";"N"
"Translation";"Translation";"B";"";"N";"N"
"Type";"Type";"B";"";"N";"N"
"Module";"Module";"B";"";"N";"N"
"Status";"Status";"B";"";"N";"N"
"Is custom";"Is custom";"B";"";"N";"N"
"Is default";"Is default";"B";"";"N";"N"
"Is active";"Is active";"B";"";"N";"N"
"Imported";"Imported";"B";"";"N";"N"
"Failed to set default language with error: %s";"Failed to set default language with error: %s";"S";"";"N";"N"
"Failed loading file %s with error: %s";"Failed loading file %s with error: %s";"S";"";"N";"N"
"Source message can't be empty in file %s";"Source message can't be empty in file %s";"S";"";"N";"N"
"Delete events";"Delete events";"S";"";"N";"N"
"ID";"ID";"S";"";"N";"N"
"Created";"Created";"B";"";"N";"N"
"Level";"Level";"B";"";"N";"N"
"Message";"Повідомлення";"B";"";"T";"N"
"IP";"IP";"B";"";"N";"N"
"File";"File";"S";"";"N";"N"
"Line";"Line";"B";"";"N";"N"
"Group ID";"Group ID";"S";"";"N";"N"
"Log event";"Log event";"S";"";"N";"N"
"Event(s) are deleted";"Event(s) are deleted";"S";"";"N";"N"
"No event(s) to delete";"No event(s) to delete";"S";"";"N";"N"
"Debug event(s) are deleted";"Debug event(s) are deleted";"S";"";"N";"N"
"No debug event(s) to delete";"No debug event(s) to delete";"S";"";"N";"N"
"Mail Account Name";"Mail Account Name";"S";"";"N";"N"
"From Name";"From Name";"B";"";"N";"N"
"From Email";"From Email";"S";"";"N";"N"
"Use SMTP protocol";"Use SMTP protocol";"S";"";"N";"N"
"SMTP Server";"SMTP Server";"B";"";"N";"N"
"SMTP Port";"SMTP Port";"B";"";"N";"N"
"SMTP Authentication";"SMTP Authentication";"S";"";"N";"N"
"Use SSL connection";"Use SSL connection";"S";"";"N";"N"
"SMTP Username";"SMTP Username";"S";"";"N";"N"
"Yes";"Yes";"B";"";"N";"N"
"No";"No";"B";"";"N";"N"
"Mail outbox";"Mail outbox";"B";"";"N";"N"
"Failed to restart %s row(s)";"Failed to restart %s row(s)";"S";"";"N";"N"
"%s row(s) successfully restarted";"%s row(s) successfully restarted";"S";"";"N";"N"
"Scheduled at";"Scheduled at";"B";"";"N";"N"
"Account name";"Account name";"B";"";"N";"N"
"Failed to load mail template with error: %s";"Failed to load mail template with error: %s";"S";"";"N";"N"
"Failed to send test mail with error: %s";"Failed to send test mail with error: %s";"S";"";"N";"N"
"Test mail was successfully queued";"Test mail was successfully queued";"S";"";"N";"N"
"Network connections are disabled";"Network connections are disabled";"S";"";"N";"N"
"Proxy failed: %s";"Proxy failed: %s";"S";"";"N";"N"
"Could not connect to server: %s:%s, Failed with error: %s";"Could not connect to server: %s:%s, Failed with error: %s";"S";"";"N";"N"
"Could not send request to server %s:%s";"Could not send request to server %s:%s";"S";"";"N";"N"
"Could not read from proxy socket";"Could not read from proxy socket";"S";"";"N";"N"
"Required plugin %s is not active";"Required plugin %s is not active";"S";"";"N";"N"
"Required plugin %s has to be in version %s or higher";"Required plugin %s has to be in version %s or higher";"S";"";"N";"N"
"Too many plugins with code name '%s'";"Too many plugins with code name '%s'";"S";"";"N";"N"
"Plugin %s not found";"Plugin %s not found";"S";"";"N";"N"
"Role";"Role";"B";"";"N";"N"
"Logged in";"Logged in";"B";"";"N";"N"
"Logged out";"Logged out";"B";"";"N";"N"
"%s has to be valid date";"%s has to be valid date";"S";"";"N";"N"
"%s has to be valid email";"%s has to be valid email";"S";"";"N";"N"
"There were errors, please check highlighted fields";"There were errors, please check highlighted fields";"B";"";"N";"N"
"%s has to be positive integer";"%s has to be positive integer";"S";"";"N";"N"
"%s has to be integer";"%s has to be integer";"S";"";"N";"N"
"%s is mandatory";"%s є обовʼязковим";"B";"";"T";"N"
"%s has to be number";"%s has to be number";"S";"";"N";"N"
"Regional settings saved";"Regional settings saved";"S";"";"N";"N"
"Table alias must by defined";"Table alias must by defined";"S";"";"N";"N"
"equals";"equals";"B";"";"N";"N"
"not equals";"not equals";"B";"";"N";"N"
"is like";"is like";"S";"";"N";"N"
"is not like";"is not like";"S";"";"N";"N"
"is greater";"is greater";"B";"";"N";"N"
"is lower";"is lower";"B";"";"N";"N"
"is greater or equal";"is greater or equal";"S";"";"N";"N"
"is lower or equal";"is lower or equal";"S";"";"N";"N"
"is";"is";"B";"";"N";"N"
"hour equals";"hour equals";"S";"";"N";"N"
"hour is greater";"hour is greater";"S";"";"N";"N"
"hour is lower";"hour is lower";"S";"";"N";"N"
"hour is greater or equal";"hour is greater or equal";"S";"";"N";"N"
"hour is lower or equal";"hour is lower or equal";"S";"";"N";"N"
"is in";"is in";"B";"";"N";"N"
"DONE";"DONE";"S";"";"N";"N"
"IN PROGRESS";"IN PROGRESS";"S";"";"N";"N"
"Test";"Test";"B";"";"N";"N"
"Filter does not exist";"Filter does not exist";"S";"";"N";"N"
"Filter saved";"Filter saved";"S";"";"N";"N"
"Filter added";"Filter added";"S";"";"N";"N"
"Field";"Field";"B";"";"N";"N"
"Code";"Code";"B";"";"N";"N"
"%s does not exist";"%s does not exist";"S";"";"N";"N"
"Row";"Row";"S";"";"N";"N"
"Failed to save %s field(s) in %s(s)";"Failed to save %s field(s) in %s(s)";"S";"";"N";"N"
"%s field(s) in %s(s) successfully saved";"%s field(s) in %s(s) successfully saved";"S";"";"N";"N"
"Failed to delete %s %s(s)";"Failed to delete %s %s(s)";"S";"";"N";"N"
